Entity,Year,Carbon dioxide emissions from buildings,Carbon dioxide emissions from industry,Carbon dioxide emissions from land use change and forestry,Carbon dioxide emissions from other fuel combustion,Carbon dioxide emissions from transport_x,Carbon dioxide emissions from manufacturing and construction,Carbon dioxide emissions from electricity and heat,Annual CO2 emissions (per capita),GDP per capita,Population (historical estimates),Per capita consumption-based CO₂ emissions,Annual CO₂ emissions embedded in trade,Annual CO₂ emissions from flaring,Carbon dioxide emissions from transport_y,Annual CO₂ emissions
India,1990,56410000.0,22350000.0,-222390000.0,28300000.0,64379996.0,149110000.0,231920000.0,0.66401815,369.0,870452160.0,0.6610749,-2561984.0,9870757.0,64379996.0,577996000.0
India,1991,59280000.0,24500000.0,-222390000.0,33080002.0,66930000.0,153200000.0,258970000.0,0.69224447,304.0,888941760.0,0.67134404,-18579264.0,7833632.0,66930000.0,615365000.0
India,1992,58560000.0,25160000.0,-222390000.0,33029998.0,68550000.0,156650000.0,278570020.0,0.72219676,318.0,907574080.0,0.71240574,-8886080.0,3565072.0,68550000.0,655447040.0
India,1993,58880000.0,26600000.0,-222390000.0,32130002.0,68550000.0,154530000.0,306800000.0,0.7311473,302.0,926351296.0,0.7037686,-25362304.0,3700640.0,68550000.0,677299260.0
India,1994,63490000.0,28540000.0,-222390000.0,36920000.0,70810000.0,164340000.0,319860000.0,0.7554136,346.0,945261952.0,0.7229704,-30667328.0,1851796.0,70810000.0,714063740.0
India,1995,65379996.0,31100000.0,-222370000.0,39070000.0,78290000.0,156700000.0,364890020.0,0.7886323,374.0,964279104.0,0.74583066,-41272704.0,2303268.0,78290000.0,760461630.0
India,1996,67270000.0,34080000.0,-222370000.0,41620000.0,83800000.0,156920000.0,388130020.0,0.8376247,400.0,983281216.0,0.7813899,-55294656.0,2135792.0,83800000.0,823620700.0
India,1997,72900000.0,37420000.0,-222370000.0,45130000.0,85800000.0,173130000.0,402100000.0,0.8560122,415.0,1002335232.0,0.8021958,-53942080.0,2645498.0,85800000.0,858011200.0
India,1998,70400000.0,39030000.0,-222370000.0,35100000.0,88780000.0,182580000.0,418140000.0,0.85739446,413.0,1021434560.0,0.8024994,-56071744.0,2133216.0,88780000.0,875772350.0
India,1999,73440000.0,44590000.0,-222390000.0,40380000.0,93310000.0,187800000.0,459650000.0,0.9134644,441.0,1040500032.0,0.8713311,-43839744.0,2048127.9,93310000.0,950459800.0
India,2000,72680000.0,45960000.0,-222410000.0,38540000.0,95090000.0,192270000.0,491240000.0,0.92251354,442.0,1059633664.0,0.8570621,-69354560.0,1973441.0,95090000.0,977526400.0
India,2001,71320000.0,46740000.0,3680000.0,39270000.0,94920000.0,193980000.0,505360000.0,0.91843957,450.0,1078970880.0,0.84739995,-76649660.0,1856872.0,94920000.0,990969540.0
India,2002,74620000.0,49110000.0,3680000.0,41050000.0,97740000.0,207670000.0,513580030.0,0.9302123,469.0,1098313088.0,0.84570336,-92817340.0,1602081.0,97740000.0,1021664400.0
India,2003,76710000.0,50880000.0,3670000.0,47940000.0,99530000.0,198420000.0,536410000.0,0.9478657,544.0,1117415168.0,0.8786841,-77304640.0,1786836.0,99530000.0,1059159550.0
India,2004,79030000.0,55540000.0,3670000.0,48200000.0,108050000.0,208260000.0,584730000.0,0.9901711,624.0,1136264576.0,0.91180503,-89044540.0,1765007.0,108050000.0,1125096300.0
India,2005,79920000.0,59690000.0,3650000.0,47470000.0,115400000.0,232620000.0,599570000.0,1.026879,711.0,1154638720.0,0.94954866,-89288580.0,1703873.0,115400000.0,1185674200.0
India,2006,81340000.0,64910004.0,3650000.0,46840000.0,120650000.0,260310000.0,639330050.0,1.102451,802.0,1172373760.0,1.0055526,-113601020.0,1741354.0,120650000.0,1292484600.0
India,2007,83340000.0,68330000.0,3650000.0,41620000.0,142980000.0,295260000.0,703280000.0,1.1704763,1023.0,1189691776.0,1.0896578,-96149120.0,1842345.0,142980000.0,1392506000.0
India,2008,85390000.0,73240000.0,3650000.0,70500000.0,163210000.0,308180000.0,721880000.0,1.2342707,994.0,1206734848.0,1.1443819,-108471940.0,1887652.0,163210000.0,1489437400.0
India,2009,89560000.0,81270000.0,3660000.0,68240000.0,178710000.0,355580000.0,789510000.0,1.3175575,1097.0,1223640192.0,1.2464799,-86973440.0,1878801.0,178710000.0,1612216300.0
India,2010,92710000.0,86030000.0,3650000.0,68810000.0,192920000.0,398020000.0,819680000.0,1.3520223,1351.0,1240613632.0,1.2716819,-99671300.0,1704123.0,192920000.0,1677337200.0
India,2011,96720000.0,91310000.0,-66160004.0,52970000.0,209290000.0,443410020.0,860229950.0,1.4032146,1450.0,1257621248.0,1.2969729,-133611780.0,2648179.0,209290000.0,1764712400.0
India,2012,97450000.0,100200000.0,-66160004.0,65430000.0,221520000.0,431900000.0,989110000.0,1.5109605,1434.0,1274487168.0,1.4043883,-135824770.0,3592236.0,221520000.0,1925699700.0
India,2013,99590000.0,107800000.0,-66160004.0,59890000.0,226260000.0,469390000.0,1006040000.0,1.5452317,1438.0,1291132032.0,1.3797113,-213708670.0,3265639.0,226260000.0,1995098100.0
India,2014,103750000.0,115800000.0,-66160004.0,64089996.0,235750000.0,500530000.0,1123430000.0,1.6434114,1560.0,1307246464.0,1.4991959,-188525180.0,3529487.0,235750000.0,2148343800.0
India,2015,107820000.0,117500000.0,-66160004.0,64339996.0,257750000.0,503100000.0,1103120000.0,1.6889228,1590.0,1322866560.0,1.5838342,-139018240.0,4137466.0,257750000.0,2234219500.0
India,2016,111860000.0,123300000.0,-35590000.0,66220000.0,269390000.0,524039970.0,1096320000.0,1.7589977,1714.0,1338636288.0,1.6279407,-175437570.0,3756230.0,269390000.0,2354658000.0
India,2017,114190000.0,121000000.0,-35590000.0,69020000.0,291230000.0,555460030.0,1154900000.0,1.7919174,1958.0,1354195712.0,1.6788491,-153116670.0,2823090.0,291230000.0,2426606800.0
India,2018,118940000.0,139000000.0,-35590000.0,71110000.0,305330000.0,565290000.0,1255819900.0,1.8941209,1974.0,1369003264.0,1.7715476,-167803400.0,2489685.0,305330000.0,2593057800.0
India,2019,123250000.0,143700000.0,-35630000.0,69090000.0,307860000.0,549349950.0,1228080000.0,1.8891369,2050.0,1383112064.0,1.7695689,-165376000.0,2454173.0,307860000.0,2612888000.0
India,2020,124570000.0,122900000.0,-35630000.0,64170000.0,269549980.0,501320000.0,1115350000.0,1.7341554,1913.0,1396387072.0,1.6096771,-173819900.0,2805992.0,269549980.0,2421552000.0
India,1858,,,,,,,,0.001630635,,241923000.0,,,0.0,,394488.0
India,1859,,,,,,,,0.002622529,,242698983.0,,,0.0,,636485.0
India,1860,,,,,,,,0.002641374,,243477427.0,,,0.0,,643115.0
India,1861,,,,,,,,0.002035771,896.0,244258342.0,,,0.0,,497254.0
India,1862,,,,,,,,0.002245715,,245041734.0,,,0.0,,550294.0
India,1863,,,,,,,,0.002481271,,245827611.0,,,0.0,,609965.0
India,1864,,,,,,,,0.002338916,,246615984.0,,,0.0,,576814.0
India,1865,,,,,,,,0.002291242,,247406860.0,,,0.0,,566869.0
India,1866,,,,,,,,0.002577757,,248200247.0,,,0.0,,639800.0
India,1878,,,,,,,,0.006954148,,254079702.0,,,0.0,,1766908.0
India,1879,,,,,,,,0.00661162,,254760858.0,,,0.0,,1684382.0
India,1880,,,,,,,,0.007376274,,255789440.0,,,0.0,,1886773.0
India,1881,,,,,,,,0.007152246,,257168597.0,,,0.0,,1839333.0
India,1882,,,,,,,,0.008483122,,258901501.0,,,0.0,,2196293.0
India,1883,,,,,,,,0.00935244,,260991354.0,,,0.0,,2440906.0
India,1884,,,,,,,,0.010376405,878.0,263098048.0,,,0.0,,2730012.0
India,1885,,,,,,,,0.009273,904.0,265221721.0,,,0.0,,2459401.0
India,1886,,,,,,,,0.010368174,874.0,267362508.0,,,0.0,,2772061.0
India,1887,,,,,,,,0.011375812,912.0,269520547.0,,,0.0,,3066015.0
India,1888,,,,,,,,0.012549144,918.0,271695977.0,,,0.0,,3409552.0
India,1889,,,,,,,,0.014703918,891.0,273520781.0,,,0.0,,4021827.2
India,1890,,,,,,,,0.016115645,931.0,274991729.0,,,0.0,,4431669.0
India,1891,,,,,,,,0.017284762,843.0,276105563.0,,,0.0,,4772419.0
India,1892,,,,,,,,0.018952932,910.0,276859000.0,,,0.0,,5247290.0
India,1893,,,,,,,,0.01999356,931.0,277248729.0,,,0.0,,5543189.0
